time maxParticleSpeed maxParticleSpin
0 0.00100944 0.019877
0.01005 0.241095 0.385251
0.02 0.319416 0.881146
0.03 0.54935 1.14962
0.04 0.651232 1.78043
0.05 0.835185 2.27067
0.06 0.537391 2.00769
0.07 0.464211 1.83583
0.08005 0.364123 1.64297
0.09005 0.265995 1.69292
0.10005 0.21866 1.58922
0.11005 0.219915 1.89236
0.12005 0.230611 1.24712
0.13005 0.274955 1.02397
0.14005 0.341677 0.912025
0.15005 0.332443 1.09372
0.16005 0.413222 1.21961
0.17005 0.240101 1.82751
0.18005 0.141881 0.952793
0.19005 0.114061 1.2006
0.20005 0.128556 1.04217
0.21005 0.0958413 0.968201
0.22005 0.106916 0.704655
0.23005 0.140412 0.688211
0.24005 0.0938131 1.12338
0.25005 0.122745 1.21906
0.26005 0.123655 1.11952
0.27005 0.133026 1.00958
0.28005 0.0795061 0.966772
0.29005 0.117711 0.944951
0.30005 0.0557823 0.738626
0.31005 0.0576747 0.6453
0.32005 0.0535118 0.611914
0.33005 0.0307942 0.594407
0.34005 0.0211883 0.572023
0.35005 0.0141579 0.388328
0.36005 0.0136541 0.296194
0.37005 0.0146673 0.26154
0.38005 0.0149227 0.319536
0.39005 0.0199624 0.16095
0.40005 0.0214323 0.33067
0.41005 0.0497963 0.414492
0.42005 0.118037 0.584306
0.43005 0.106968 0.371085
0.44005 0.0959291 0.543232
0.45005 0.0710981 0.549656
0.46005 0.035219 0.529415
0.47005 0.0296138 0.514125
0.48005 0.0969733 0.571399
0.49005 0.078374 0.766485
0.50005 0.10589 0.629427
0.51005 0.0636083 0.574003
0.52005 0.0614957 0.378245
0.53005 0.104726 0.273295
0.54005 0.0743668 0.405228
0.55005 0.0631902 0.563625
0.56005 0.0475041 0.451853
0.57005 0.0269927 0.423237
0.58005 0.0176038 0.293255
0.59005 0.0178897 0.259713
0.60005 0.0185337 0.248563
0.61005 0.013645 0.296128
