time fluidCenterOfMass_X fluidCenterOfMass_Y fluidCenterOfMass_Z
0 0.0746848 0.0350365 0.0842382
0.01005 0.074691 0.0350393 0.0842377
0.02 0.0746948 0.0350398 0.084257
0.03 0.0746721 0.0350523 0.084271
0.04 0.0746811 0.0350421 0.0842787
0.05 0.0746849 0.0350133 0.0842631
0.06 0.0746852 0.034997 0.0842687
0.07 0.0746646 0.0350113 0.0842858
0.08005 0.074667 0.0350093 0.0843126
