time particleCenterOfMass_X particleCenterOfMass_Y particleCenterOfMass_Z
0 0.0696671 0.005 0.0617676
0.01005 0.076752 0.005 0.0721963
0.02 0.0771289 0.005 0.0810446
0.03 0.0766423 0.005 0.0853179
0.04 0.0759766 0.005 0.0866556
0.05 0.0754748 0.005 0.086473
0.06 0.0751036 0.005 0.0851261
0.07 0.0748159 0.005 0.0828142
0.08005 0.0745524 0.005 0.0796224
0.09005 0.0742945 0.005 0.0757131
0.10005 0.0740761 0.005 0.0712641
0.11005 0.0739768 0.005 0.0669314
0.12005 0.0740077 0.005 0.0639589
0.13005 0.0741734 0.005 0.0622865
0.14005 0.0743078 0.005 0.0611826
0.15005 0.0744645 0.005 0.0602861
0.16005 0.0743608 0.005 0.0596062
0.17005 0.0742096 0.005 0.0590278
0.18005 0.0740187 0.005 0.0585712
0.19005 0.0739005 0.005 0.0583703
0.20005 0.0738524 0.005 0.0582128
0.21005 0.0738486 0.005 0.0580944
0.22005 0.0738208 0.005 0.0581321
0.23005 0.0738222 0.005 0.0581116
0.24005 0.0737859 0.005 0.0580239
0.25005 0.0737972 0.005 0.0579481
0.26005 0.0738253 0.005 0.0578697
0.27005 0.073868 0.005 0.0577592
0.28005 0.0739246 0.005 0.0576559
0.29005 0.0739449 0.005 0.0576294
0.30005 0.0739612 0.005 0.0575699
0.31005 0.0739373 0.005 0.0575363
0.32005 0.0739247 0.005 0.0575473
0.33005 0.0739203 0.005 0.0575273
0.34005 0.073956 0.005 0.0574988
0.35005 0.0739764 0.005 0.0575022
0.36005 0.0739931 0.005 0.0575078
0.37005 0.0740033 0.005 0.0574885
0.38005 0.0740072 0.005 0.0574822
0.39005 0.0740091 0.005 0.05749
0.40005 0.0740114 0.005 0.0574836
0.41005 0.0740143 0.005 0.0574759
